상호명,위도(lat),경도(lon),소재지,count
잉크와복권방,36.8020765258975,127.139416497888,충남 천안시 동남구 차돌로 84,30
행운의집,36.5668951143319,128.729433725552,경북 안동시 북문동 23-7번지,30
원스탑,37.5109675018169,127.083235272667,서울 송파구 백제고분로7길 39,30
충남상회,37.4676423328736,126.643011577667,인천 미추홀구 참외전로 268 302동 B211호,30
원동슈퍼,36.3511507514284,126.597453937505,충남 보령시 대천로 28,30
파란만장복권방,37.2124188617831,127.038840874201,경기 화성시 진안동  878-4번지 101호,30
까치복권방,37.336693513552,126.748239784703,경기 시흥시 중심상가로 326 1층102,30
하나유통,35.8717448385214,128.819963415568,경북 경산시 공단2로 7,30
영훈슈퍼마켓,37.6378039469551,127.037625298928,서울 도봉구 덕릉로 222,30
버스매표소,37.4918294298029,126.722723545346,인천 부평구 부평대로 3 가판,30
드림통신(구)굿타임24아산석정점,36.8011696491832,127.007696746355,충남 아산시 충무로 230 1층,30
서정천하명당,37.0582571003921,127.059336509846,경기 평택시 송탄로 162-1 1층,30
양산노다지복권방,35.3482592004656,129.037834876003,경남 양산시 북안남2길 52 복권판매점,29
월드컵복권방,37.4099289865478,127.258382575225,경기 광주시 경안로 20,29
스마일복권,37.6223050575793,126.699670102646,경기 김포시 중봉1로 12 1층 104-2호,29
하이로또복권방,37.3940299857433,126.975632029675,경기 안양시 동안구 흥안대로 450,29
G마트,37.49164642744,126.902185445265,서울 영등포구 디지털로 387,29
복권명당,35.8266197549989,128.736806406212,경북 경산시 경안로 214,29
천하명당초량점,35.1168821929218,129.040105531758,부산 동구 중앙대로221번길 3,29
하당복권방,34.8039271171213,126.429447105924,전남 목포시 옥암로 46,28
데이앤나잇,37.6019090131896,127.033550711598,서울 성북구 종암로 132 종암우림카이저팰리스 1층 101호,28
행복슈퍼,37.5910211712363,127.011144274361,서울 성북구 동소문로 49,28
욱일슈퍼,37.4846285068883,126.746720744739,인천 부평구 경인로 1144,28
권선로또복권방,37.2708359445694,126.975051798506,경기 수원시 권선구 탑동로 22 천림빌딩102호,28
태양정보통신,37.3932322152024,127.231819068533,경기 광주시 고불로 56 상가1층,28
바른손(퇴계점),37.8583575018498,127.73514339275,강원 춘천시 퇴계로 168 주공2단지상가101호,28
로또명당금왕점,36.9909767213693,127.586378932803,충북 음성군 탑골길 55 세븐일레븐 금왕점,28
태양마트,36.3737065349545,127.317372593405,대전 유성구 노은로 157 골드프라자 106호,28
서울로또방,36.2993896683075,127.566718542394,충북 옥천군 삼금로 8,28
삼삼마트,35.1951447409086,128.075664891089,경남 진주시 진주대로 1165-1,28
명당복권방,37.6502390990571,127.306290058316,경기 남양주시 창현로 7,28
복권나라,37.5644524282652,127.053856513732,서울 성동구 용답중앙15길 12-1 1층,28
대박예감,37.2339716545878,127.063985296669,경기 화성시 영통로 36 1층,28
노다지복권방,37.1535734958303,127.068839680848,경기 오산시 오산로 298-1,28
복권명당,35.8517462942895,128.616648593278,대구 수성구 들안로 243,28
부흥청과식품점,35.9092602097505,128.813536406471,경북 경산시 하양로 35 우방3차상가,28
로또수락산점,37.6791213093376,127.054950932229,서울 노원구 동일로 1689 대덕하이베라스101호,28
조례로또복권방,34.9583927174364,127.518113767037,전남 순천시 봉화2길 58 조례로또복권방,27
가온공인중개사무소,37.7406404741997,126.490730141004,인천 강화군 중앙로 27 104호,27
대박마트,37.4026077147428,126.709566372347,인천 남동구 호구포로 219 세중프라자1층101-2호,27
용꿈돼지꿈복권전문점,37.5214846431653,129.11508128475,강원 동해시 중앙로 234 이주민상가1층15호,27
보성정보통신,37.5619229172028,127.066511623538,서울 동대문구 장한로2길 24,27
L-마트,37.518996845641,126.762331874249,경기 부천시 삼작로 22 부천테크노파크100-103,27
공원슈퍼,37.2888295580437,127.012935153781,경기 수원시 장안구 팔달로 255 1층(영화동),27
가로판매대,37.5392912715768,127.123867283286,서울 강동구 올림픽로 648 천호역 3번 출구 앞(가판점),27
교통카드,37.5081106083941,127.022294298364,서울 서초구 강남대로 517,27
정원복권방,37.6473861862855,127.034372618396,서울 도봉구 도봉로 468 1층 101-3호,27
진플러스안경,36.3128046450746,127.435044952743,대전 중구 대종로 301-1,27
복권세상,34.8039274358966,126.375817956267,전남 목포시 청호로 139 1층 복권세상,27
지원물산,37.6198325602606,127.078126207313,서울 노원구 공릉로 108,27
소답시내버스매표소,35.2617421609126,128.625629282819,경남 창원시 의창구 의안로2번길 17 가판,27
다모아복권,37.4959162824183,126.842813698497,서울 구로구 경인로19길 4,27
천국열쇠,35.182485742149,126.872037854503,광주 북구 북문대로 157,27
프로토베팅샵,35.0997065582699,129.028315809427,부산 중구 국제시장2길 5 4호,27
럭키슈퍼,37.5506099834764,126.977388406007,서울 용산구 후암로 52,27
포시즌,35.2388454405156,128.867004919715,경남 김해시 내외중앙로 99 복권판매점,27
송내매표소,37.4868869837201,126.752854267596,경기 부천시 송내대로 37 104호,27
복권나라동성점,34.9496505359864,127.518470820555,전남 순천시 연향번영길 94 동성아파트 상가113호,27
행운을주는사람들,36.987649410564,127.931630527578,충북 충주시 연수상가길 42 1층 복권방,27
복권마을,37.485330400008,126.886039054657,서울 구로구 구로동로 72,26
필로또복권,36.7727600477807,126.450509273291,충남 서산시 호수공원6로 64 1층,26
금도깨비복권전문점,37.7098041947948,126.634737601742,경기 김포시 월하로 721,26
감정리매표소,37.6221851853491,126.700185302187,경기 김포시  감정로 13 비 03호,26
행운복권,37.3264372576157,126.918993871774,경기 군포시 대야1로 3 1동,26
로또복권 하대점,35.1870319488858,128.122449432222,경남 진주시 도동로 188,26
복권방,37.5380720353412,127.204802122858,경기 하남시 신장로 122,26
대소원로또,36.9732511656846,127.823593034787,충북 충주시 중원대로 4373 휴게소내 컨테이너,26
프리웨이스토어,37.4067899566075,127.237981095547,경기 광주시 회안대로 605 1층,26
노다지 노원역점 복권방,37.6562275670719,127.063748675774,서울 노원구 상계로 78,26
진양상회,36.811228689448,128.624088366874,경북 영주시 선비로 68,26
버스카드판매대,37.4719679886988,126.933305670509,서울 관악구 신림로 145-2,26
차부상회,37.6903489666799,126.600338424238,경기 김포시 조강로 50,26
명성복권방,37.2085116047481,127.034275404282,경기 화성시 경기대로 1043,26
로또(파발마점),37.3519442533794,126.740583557356,경기 시흥시 마유로 415 역전프라자105호,26
빛고을로또,35.1573862848631,126.791856163446,광주 광산구 소촌로 147 세븐일레븐,26
중구-가로가판대-37,37.5608306669839,126.978063161578,서울 중구 남대문로 20-2,25
천하명당우만점,37.2902761879585,127.030179595698,경기 수원시 팔달구 월드컵로369번길 4,25
